品牌,能效等级,SSD,厚度,机身材质,屏幕尺寸,刷新率,覆盖对数
MI,一级,3TB*2,15.1-18.0mm,复合材质,15.0-15.9英寸,120Hz,10
hp,一级,3TB,18.1-20.0mm,复合材质,16.0-16.9英寸,90Hz,12
Lenovo,二级,3TB*2,15.0mm及以下,金属,13.0-13.9英寸,144Hz,9
华为,一级,512GB+2TB,15.1-18.0mm,含碳纤维,13.0英寸以下,90Hz,10
HONOR,二级,256GB+1TB,15.0mm及以下,复合材质,13.0-13.9英寸,120Hz,11
Apple,一级,3TB,20.0mm以上,复合材质,14.0-14.9英寸,144Hz,9
DELL,二级,512GB+2TB,15.1-18.0mm,复合材质,15.0-15.9英寸,90Hz,10
ThinkPad,三级,128GB,15.0mm及以下,复合材质,13.0-13.9英寸,120Hz,8
MI,二级,128GB,15.0mm及以下,含碳纤维,13.0英寸以下,60Hz,9
hp,二级,3TB*2,20.0mm以上,复合材质,15.0-15.9英寸,165Hz,10
Lenovo,二级,256GB+1TB,18.1-20.0mm,含碳纤维,13.0英寸以下,120Hz,8
ASUS,二级,3TB,20.0mm以上,复合材质,16.0-16.9英寸,165Hz,9
华为,二级,3TB,20.0mm以上,金属+复合材质,13.0-13.9英寸,144Hz,8
Apple,三级,128GB,15.1-18.0mm,复合材质,13.0-13.9英寸,60Hz,8
ThinkPad,二级,256GB+1TB,15.0mm及以下,金属+复合材质,14.0-14.9英寸,165Hz,8
HONOR,一级,256GB+1TB,18.1-20.0mm,含碳纤维,13.0-13.9英寸,60Hz,8
MI,二级,256GB+1TB,15.0mm及以下,含碳纤维,13.0英寸以下,90Hz,9
ASUS,一级,3TB,18.1-20.0mm,金属,15.0-15.9英寸,90Hz,8
Lenovo,三级,512GB+2TB,20.0mm以上,金属+复合材质,15.0-15.9英寸,60Hz,8
DELL,一级,256GB+1TB,20.0mm以上,金属+复合材质,15.0-15.9英寸,60Hz,7
hp,二级,256GB+1TB,15.0mm及以下,金属+复合材质,15.0-15.9英寸,60Hz,8
华为,一级,128GB,15.0mm及以下,含碳纤维,13.0-13.9英寸,165Hz,9
Apple,三级,512GB+2TB,15.1-18.0mm,金属,16.0-16.9英寸,60Hz,8
华为,三级,3TB,15.1-18.0mm,含碳纤维,15.0-15.9英寸,120Hz,8
ThinkPad,三级,256GB+1TB,18.1-20.0mm,金属,13.0-13.9英寸,90Hz,8
HONOR,一级,3TB,20.0mm以上,金属,14.0-14.9英寸,120Hz,7
DELL,三级,128GB,18.1-20.0mm,金属+复合材质,15.0-15.9英寸,120Hz,8
MI,二级,3TB,18.1-20.0mm,含碳纤维,13.0-13.9英寸,165Hz,8
Lenovo,三级,3TB*2,20.0mm以上,金属,14.0-14.9英寸,144Hz,8
hp,一级,512GB+2TB,18.1-20.0mm,金属,14.0-14.9英寸,165Hz,6
ASUS,一级,512GB+2TB,15.0mm及以下,复合材质,13.0英寸以下,60Hz,8
HONOR,三级,3TB,20.0mm以上,复合材质,13.0-13.9英寸,144Hz,7
Apple,三级,3TB*2,15.0mm及以下,金属+复合材质,15.0-15.9英寸,144Hz,9
DELL,二级,3TB,15.1-18.0mm,含碳纤维,16.0-16.9英寸,144Hz,9
ThinkPad,二级,3TB,15.1-18.0mm,金属,14.0-14.9英寸,60Hz,8
hp,三级,128GB,15.1-18.0mm,金属+复合材质,14.0-14.9英寸,90Hz,6
MI,一级,256GB+1TB,20.0mm以上,复合材质,13.0-13.9英寸,60Hz,7
Lenovo,一级,3TB,18.1-20.0mm,金属,13.0-13.9英寸,60Hz,8
ASUS,二级,3TB*2,15.1-18.0mm,金属+复合材质,15.0-15.9英寸,60Hz,6
华为,一级,256GB+1TB,18.1-20.0mm,复合材质,16.0-16.9英寸,90Hz,8
Apple,二级,512GB+2TB,18.1-20.0mm,复合材质,14.0-14.9英寸,120Hz,6
Lenovo,一级,128GB,18.1-20.0mm,金属+复合材质,13.0英寸以下,144Hz,7
HONOR,一级,128GB,15.1-18.0mm,金属+复合材质,13.0英寸以下,165Hz,6
ThinkPad,三级,512GB+2TB,15.1-18.0mm,含碳纤维,13.0英寸以下,120Hz,6
hp,一级,3TB*2,20.0mm以上,金属+复合材质,13.0英寸以下,165Hz,6
MI,二级,128GB,15.1-18.0mm,金属,16.0-16.9英寸,144Hz,6
DELL,三级,3TB,18.1-20.0mm,金属+复合材质,13.0-13.9英寸,165Hz,6
ASUS,一级,512GB+2TB,20.0mm以上,金属,13.0-13.9英寸,90Hz,7
华为,二级,512GB+2TB,20.0mm以上,金属,13.0英寸以下,60Hz,6
HONOR,二级,512GB+2TB,15.0mm及以下,金属+复合材质,13.0-13.9英寸,144Hz,6
ThinkPad,一级,512GB+2TB,20.0mm以上,金属,16.0-16.9英寸,120Hz,6
Apple,三级,256GB+1TB,20.0mm以上,金属,14.0-14.9英寸,90Hz,7
hp,一级,512GB+2TB,18.1-20.0mm,含碳纤维,15.0-15.9英寸,60Hz,5
DELL,三级,3TB*2,20.0mm以上,复合材质,14.0-14.9英寸,60Hz,6
MI,二级,512GB+2TB,15.1-18.0mm,金属+复合材质,13.0英寸以下,120Hz,5
hp,二级,128GB,15.1-18.0mm,金属+复合材质,16.0-16.9英寸,144Hz,5
Lenovo,三级,512GB+2TB,15.1-18.0mm,金属,14.0-14.9英寸,165Hz,5
华为,二级,3TB*2,15.0mm及以下,金属,15.0-15.9英寸,165Hz,5
ASUS,一级,256GB+1TB,18.1-20.0mm,含碳纤维,16.0-16.9英寸,165Hz,5
MI,二级,128GB,15.1-18.0mm,含碳纤维,14.0-14.9英寸,165Hz,5
HONOR,二级,256GB+1TB,15.0mm及以下,复合材质,15.0-15.9英寸,90Hz,4
DELL,一级,3TB,15.0mm及以下,复合材质,13.0英寸以下,120Hz,7
ThinkPad,一级,512GB+2TB,20.0mm以上,金属,13.0英寸以下,144Hz,6
HONOR,三级,128GB,15.1-18.0mm,复合材质,16.0-16.9英寸,120Hz,5
Apple,一级,512GB+2TB,15.0mm及以下,含碳纤维,15.0-15.9英寸,120Hz,6
ThinkPad,三级,3TB*2,15.0mm及以下,复合材质,14.0-14.9英寸,144Hz,5
ASUS,三级,128GB,15.0mm及以下,复合材质,16.0-16.9英寸,90Hz,6
华为,三级,3TB*2,15.1-18.0mm,金属+复合材质,14.0-14.9英寸,90Hz,5
hp,三级,256GB+1TB,15.1-18.0mm,金属,15.0-15.9英寸,60Hz,4
Lenovo,一级,128GB,15.0mm及以下,含碳纤维,14.0-14.9英寸,90Hz,5
MI,三级,128GB,15.0mm及以下,复合材质,15.0-15.9英寸,90Hz,4
Apple,三级,3TB*2,15.0mm及以下,复合材质,13.0英寸以下,165Hz,5
hp,一级,128GB,20.0mm以上,含碳纤维,13.0英寸以下,120Hz,5
DELL,一级,3TB*2,15.1-18.0mm,复合材质,13.0英寸以下,144Hz,4
华为,三级,256GB+1TB,15.1-18.0mm,复合材质,13.0-13.9英寸,90Hz,4
ASUS,一级,512GB+2TB,18.1-20.0mm,复合材质,16.0-16.9英寸,144Hz,4
HONOR,三级,3TB*2,15.0mm及以下,金属,13.0英寸以下,90Hz,5
华为,二级,3TB,18.1-20.0mm,含碳纤维,16.0-16.9英寸,165Hz,6
Lenovo,二级,3TB*2,15.1-18.0mm,复合材质,15.0-15.9英寸,120Hz,4
MI,三级,256GB+1TB,15.0mm及以下,金属,13.0-13.9英寸,120Hz,6
ASUS,二级,256GB+1TB,15.1-18.0mm,含碳纤维,13.0英寸以下,144Hz,5
hp,二级,512GB+2TB,18.1-20.0mm,复合材质,13.0-13.9英寸,90Hz,4
ThinkPad,三级,128GB,20.0mm以上,金属+复合材质,15.0-15.9英寸,90Hz,4
hp,三级,3TB,15.0mm及以下,含碳纤维,15.0-15.9英寸,144Hz,4
Apple,一级,512GB+2TB,18.1-20.0mm,金属,13.0-13.9英寸,144Hz,4
DELL,三级,512GB+2TB,15.0mm及以下,金属,16.0-16.9英寸,120Hz,4
华为,一级,512GB+2TB,20.0mm以上,复合材质,14.0-14.9英寸,165Hz,4
Lenovo,三级,3TB,15.0mm及以下,含碳纤维,15.0-15.9英寸,165Hz,4
HONOR,三级,512GB+2TB,18.1-20.0mm,含碳纤维,16.0-16.9英寸,90Hz,4
HONOR,一级,256GB+1TB,20.0mm以上,金属+复合材质,14.0-14.9英寸,165Hz,3
ASUS,三级,128GB,15.0mm及以下,金属+复合材质,14.0-14.9英寸,120Hz,4
MI,一级,3TB*2,18.1-20.0mm,复合材质,16.0-16.9英寸,165Hz,3
ThinkPad,一级,128GB,15.0mm及以下,复合材质,16.0-16.9英寸,60Hz,3
ThinkPad,二级,3TB,15.1-18.0mm,金属+复合材质,13.0-13.9英寸,120Hz,3
DELL,一级,128GB,18.1-20.0mm,含碳纤维,13.0-13.9英寸,90Hz,4
Apple,二级,3TB,15.1-18.0mm,金属+复合材质,13.0-13.9英寸,144Hz,4
HONOR,二级,3TB*2,15.1-18.0mm,金属,15.0-15.9英寸,144Hz,3
ASUS,二级,256GB+1TB,18.1-20.0mm,金属+复合材质,13.0-13.9英寸,90Hz,4
Lenovo,二级,3TB,15.0mm及以下,金属+复合材质,13.0英寸以下,60Hz,4
MI,三级,512GB+2TB,18.1-20.0mm,金属,13.0英寸以下,60Hz,4
hp,二级,3TB*2,15.0mm及以下,金属,13.0-13.9英寸,60Hz,3
hp,一级,256GB+1TB,18.1-20.0mm,金属,16.0-16.9英寸,120Hz,4
Apple,一级,256GB+1TB,20.0mm以上,复合材质,15.0-15.9英寸,90Hz,3
HONOR,一级,3TB*2,15.0mm及以下,金属,13.0-13.9英寸,165Hz,3
ASUS,三级,256GB+1TB,15.1-18.0mm,复合材质,14.0-14.9英寸,60Hz,3
MI,三级,3TB,20.0mm以上,复合材质,15.0-15.9英寸,60Hz,3
DELL,三级,512GB+2TB,18.1-20.0mm,金属+复合材质,13.0英寸以下,60Hz,3
Lenovo,二级,128GB,20.0mm以上,复合材质,16.0-16.9英寸,60Hz,3
HONOR,二级,256GB+1TB,18.1-20.0mm,金属,13.0英寸以下,144Hz,2
MI,一级,3TB*2,15.1-18.0mm,含碳纤维,16.0-16.9英寸,90Hz,2
ThinkPad,二级,512GB+2TB,15.0mm及以下,含碳纤维,14.0-14.9英寸,90Hz,3
华为,三级,128GB,20.0mm以上,金属,13.0英寸以下,144Hz,4
Apple,三级,128GB,18.1-20.0mm,金属,15.0-15.9英寸,165Hz,4
ASUS,一级,512GB+2TB,18.1-20.0mm,金属,13.0英寸以下,120Hz,3
DELL,二级,256GB+1TB,15.1-18.0mm,金属+复合材质,13.0英寸以下,165Hz,3
DELL,三级,3TB,20.0mm以上,复合材质,13.0英寸以下,60Hz,2
Lenovo,一级,256GB+1TB,15.1-18.0mm,金属,14.0-14.9英寸,144Hz,3
Apple,二级,3TB*2,20.0mm以上,金属+复合材质,14.0-14.9英寸,60Hz,3
ThinkPad,二级,256GB+1TB,18.1-20.0mm,复合材质,15.0-15.9英寸,144Hz,3
hp,二级,3TB,20.0mm以上,含碳纤维,13.0英寸以下,165Hz,2
华为,一级,128GB,20.0mm以上,金属,14.0-14.9英寸,120Hz,2
Lenovo,二级,3TB*2,15.1-18.0mm,含碳纤维,16.0-16.9英寸,90Hz,2
ThinkPad,一级,3TB*2,20.0mm以上,金属+复合材质,13.0英寸以下,120Hz,2
HONOR,三级,3TB,15.0mm及以下,金属+复合材质,16.0-16.9英寸,165Hz,3
MI,一级,3TB,20.0mm以上,金属,14.0-14.9英寸,90Hz,2
DELL,二级,256GB+1TB,15.1-18.0mm,复合材质,13.0-13.9英寸,144Hz,2
华为,三级,128GB,15.0mm及以下,金属+复合材质,13.0英寸以下,60Hz,2
HONOR,二级,3TB,20.0mm以上,含碳纤维,15.0-15.9英寸,165Hz,2
DELL,三级,3TB*2,15.0mm及以下,复合材质,14.0-14.9英寸,120Hz,1
hp,二级,3TB*2,15.1-18.0mm,复合材质,15.0-15.9英寸,120Hz,1
华为,二级,256GB+1TB,18.1-20.0mm,含碳纤维,14.0-14.9英寸,60Hz,3
ASUS,三级,128GB,18.1-20.0mm,金属+复合材质,14.0-14.9英寸,165Hz,1
Lenovo,一级,512GB+2TB,18.1-20.0mm,金属+复合材质,15.0-15.9英寸,144Hz,2
DELL,三级,3TB*2,18.1-20.0mm,金属,13.0英寸以下,90Hz,2
hp,三级,128GB,15.0mm及以下,金属+复合材质,13.0-13.9英寸,165Hz,1
华为,二级,3TB*2,20.0mm以上,金属+复合材质,13.0-13.9英寸,120Hz,1
ASUS,二级,3TB,18.1-20.0mm,金属,15.0-15.9英寸,144Hz,2
Apple,二级,3TB*2,15.1-18.0mm,金属,13.0-13.9英寸,165Hz,2
MI,三级,256GB+1TB,20.0mm以上,含碳纤维,16.0-16.9英寸,144Hz,1
hp,一级,3TB,20.0mm以上,含碳纤维,14.0-14.9英寸,120Hz,1
ThinkPad,二级,3TB,15.0mm及以下,复合材质,16.0-16.9英寸,90Hz,1
hp,二级,128GB,20.0mm以上,金属,15.0-15.9英寸,90Hz,1
MI,二级,3TB,15.0mm及以下,金属+复合材质,16.0-16.9英寸,144Hz,1
ThinkPad,二级,3TB,15.1-18.0mm,金属,15.0-15.9英寸,165Hz,1
ThinkPad,一级,512GB+2TB,15.0mm及以下,金属,13.0英寸以下,60Hz,1
Apple,二级,128GB,15.0mm及以下,含碳纤维,13.0英寸以下,120Hz,2
Lenovo,二级,512GB+2TB,15.0mm及以下,复合材质,16.0-16.9英寸,120Hz,1
ASUS,一级,3TB,18.1-20.0mm,含碳纤维,13.0-13.9英寸,60Hz,1
MI,一级,3TB,15.0mm及以下,金属,14.0-14.9英寸,165Hz,1
华为,三级,3TB,20.0mm以上,复合材质,14.0-14.9英寸,90Hz,1
Lenovo,三级,3TB,15.0mm及以下,含碳纤维,13.0-13.9英寸,120Hz,1
hp,一级,512GB+2TB,18.1-20.0mm,复合材质,16.0-16.9英寸,60Hz,1
ThinkPad,三级,256GB+1TB,15.1-18.0mm,复合材质,16.0-16.9英寸,120Hz,1
MI,三级,128GB,20.0mm以上,复合材质,15.0-15.9英寸,60Hz,1
hp,三级,512GB+2TB,15.1-18.0mm,金属,16.0-16.9英寸,144Hz,1
DELL,一级,3TB*2,20.0mm以上,金属+复合材质,15.0-15.9英寸,165Hz,1
HONOR,一级,128GB,18.1-20.0mm,复合材质,14.0-14.9英寸,90Hz,1
